candidate_id,candidate_sha256,generated_token_count,word_count,sentence_count,paragraph_count,mean_kl_steered_vs_unsteered,max_kl_steered_vs_unsteered,top_token_change_fraction,mean_projection_delta_last,exact_text_equals_prompt_baseline
K02348B409B3,3dd3dc51d71875d031b51561a8037d5da9111cc5b78152baa73414cfdb25b460,64,51,3,1,0.2572190819282696,0.9361431002616882,0.296875,-3.212683092802763,False
K0D249F67C3E,f378b5fd72224f4725eb72888e2f7a53b55d9dd93451538b19972ec26397981a,64,55,4,1,0.11344608998791728,0.7169977426528931,0.234375,-2.344839096069336,False
K1AC6F7B23FF,f8700e7a8b7251b1614c8daffd97d93048600862f7d8bcbe14d3459cc0bd6941,64,57,3,1,0.155235338949538,0.529700517654419,0.234375,5.692874148488045,False
K2439FAEDE41,d5b663de2cbf94ccaf5494fdbd42251f949ee6c5a00f209130b83ebfc064a5ec,64,50,3,1,0.0436489138903462,0.26188376545906067,0.109375,1.6063414979726076,False
K2621036BD49,5965426364eb5cc6594c557f04e3cf3be5a1facc71df7a5afbf0a59612c6a455,64,57,3,1,0.4139882432154991,1.5615034103393555,0.25,11.385748073458672,False
K26D54AD4C58,f076d47307e9726016cc0f1d8f0a0ae0812ab6d4e404d2d20caed2c33bb1a4a8,64,55,3,1,0.06570193845778238,0.20202353596687317,0.125,1.6063415333628654,False
K28C399D0E05,8cafa967d275a862f20517df6e9739b7bd50b206c9339f03fad00468d0fbd6c4,64,51,2,1,0.10713004418271765,0.35775014758110046,0.078125,5.6928741708397865,False
K2BACA5432A7,1bd3104eded90077ae9dc14b81978c2e939890209f2d226c0c2ed866ae2dd546,64,48,2,1,0.022574051681153895,0.07821162790060043,0.046875,2.8464370854198933,False
K2E6F8E22A4E,02f0849c39ae69cfe2b33ebefe481006ed488727a28e8351b8d6b7ef6da2a7a2,50,44,2,1,0.015445921509956407,0.04913022741675377,0.04,0.803170770406723,False
K2EE46C08675,6d13b073fee17fd40b88a7321f11728dc10771d14095d06c80434585441a5995,64,49,3,1,0.026464899746521553,0.12313777953386307,0.078125,1.1724195182323456,False
K337C0EDD856,b0cac2559f0555a05199086ce29ecb3f2bca7c7e9f752c5942866308051f687f,9,5,1,1,0.06485358664455514,0.19140475988388062,0.1111111111111111,3.212683333290948,False
K3446164E74E,7afd414cfdd5ba2e3d7145214b117117092a72e35e88172ad1e8caf7e0715047,64,53,3,1,0.03365673654726398,0.10121805220842361,0.0625,2.846437230706215,False
K497AE5AC0EB,4ecd99e701c567b0077da9ad63d2e25d4c5590b4e14db06cb2a2441c3eb0d00f,26,22,1,1,0.007653541961889669,0.0396365225315094,0.07692307692307693,0.5862099001040826,False
K4DED8F05A0F,3ddc0ddf92c021a832842edfffb112e8cf9f41380a1e49ccd0b23a17efc976e3,28,25,1,1,0.028634854484282966,0.1082107350230217,0.07142857142857142,1.1724197140761785,False
K4F54FB5182C,815b04fc00749cdf5a0a897992260468f6b3bd6e5f3e206bb460aad311e5d8df,64,54,3,1,0.009329580546650729,0.028239982202649117,0.0625,1.4232185017317533,False
K54B0D76A05F,669665128afd389857d702a7764ffd8b09b76e49575daf66937f75b7daff72a2,64,56,3,1,0.254050575495981,0.8292142152786255,0.328125,3.2126830741763115,False
K5F7A342ABC4,b6583adda54379e269c39d4067584de865667e770c6a86c2e233dace96c95e1b,64,48,2,1,0.0058286462673877715,0.019646817818284035,0.0,1.423218471929431,False
K612389CED3C,84983f966432a63bd77228e8890bef28d4efa61071929fc7f9cdc0ace5f547e5,64,54,4,1,0.06210970908684743,0.17313925921916962,0.15625,-1.606341516599059,False
K673C1893F9F,d1a7a216cc8a0fa1e3a7a61675ee824fd0650206b371dbbc830baf35d599bf22,64,55,3,1,0.12966691325547686,0.5696315169334412,0.15625,3.212683416903019,False
K69DCCEB5B37,d8e991a69d7e74b78b85d5684182439784ad494d7b7dd1f5002d00529b05bcf4,64,50,3,1,0.06145608082795562,0.3657704293727875,0.140625,1.6063414923846722,False
K6F603417A4C,2b002abfec2dcfe769a28ccf2257954e2d98a477ecc53dd00b42359c7baa24dd,64,50,3,1,0.056426421143179084,0.32116225361824036,0.171875,-1.6063414923846722,False
K766F2A50F13,8126e0ab790f4c33c9f629b57c419a857989ea33d56d4533ff6d1700e5bc342f,64,57,3,1,0.032374663729569875,0.08529317378997803,0.21875,2.846437133848667,False
K7A4F763B6E1,02cebf5aa7931ac00532beb2239b55f875c8d52090bebf260141e5c3fe8e0570,64,54,3,1,0.10949760838866496,0.48271921277046204,0.15625,3.2126834578812122,False
K7C14BDEFFD7,39de5e980faef759b79d6e23175ba438dc1ae1f7bf4944c17612d197cc34a98e,10,8,1,1,0.08369914386421443,0.28474241495132446,0.1,2.344839024543762,False
K7D3FB9CCDA8,9bc8c04add656b0cee3417c3dc1c6bd3da6897832a06e24590c0b1344648110e,64,52,3,1,0.027776425332369126,0.18791334331035614,0.15625,-1.1724195629358292,False
K8A1DD46E830,fd48f24c28ee9f060cda651ed2f603ecf44067274c3c4b9bef77b7462d1fdee8,64,48,1,1,0.37057997160354716,1.2982910871505737,0.203125,11.3857481777668,False
K8E87DDC0B99,5fd24eee828ffa62c0773ea51786010dd570a6302b385e3d553df6b8ad21becc,64,53,3,1,0.20526924684301662,0.5745342969894409,0.203125,-3.212683044373989,False
K8E895996898,10c2f57341967eef6045e6857f6aec3ce84e6af4c5496e4616309d2fa2765302,26,20,1,1,0.9893115518184808,3.5744619369506836,0.5,6.425366089894221,False
K944FC6BB8D9,8ab773387a55b53e6b428d28c776bb107be4d4f6eebd68845842f51d00af141e,64,55,3,1,0.007569746717866366,0.02130534127354622,0.109375,1.4232186153531075,False
K954967FFF4B,6c8452e1cbee1e1711e11b931fa1fe87a64e5db49061490259dd3b62aaba000c,64,52,3,1,0.029095198643702247,0.05665627494454384,0.09375,-2.8464371785521507,False
KA517AAA8106,ef2ee77f51f42600cf333e7e43450c4136e3173ffc728e914488aacae279e747,64,54,3,1,0.10084879939404345,0.6278036236763,0.15625,-2.344839069992304,False
KA68E0EB1320,9a242811db159b89113d44c01b752252ef743a761d421337af2694ecfb986cb6,64,50,3,1,0.09016906447607198,0.42145514488220215,0.09375,-3.212683379650116,False
KA95FE6AA032,3cc0fe39f4f7869d1247438df302d2306a80a4d489b3f64ff0c005cccfefca85,64,55,3,1,0.030940928683520497,0.07597890496253967,0.09375,-2.846437204629183,False
KACF2407E62A,ba8a326e7cbb0842c0494f7a6219d71fdb22ce510fbc6f52d06b8f0d77c80aff,25,23,1,1,0.08644982852041722,0.28093305230140686,0.08,-3.2126833820343017,False
KAFE79E0F0D5,2b58c94b38d764b935aa639ff8d08c2befcf0d06ac9703c40c32328fdddeaf62,64,53,3,1,0.09412604972335714,0.45924636721611023,0.125,2.344839137047529,False
KB1596B43374,d8e991a69d7e74b78b85d5684182439784ad494d7b7dd1f5002d00529b05bcf4,64,50,3,1,0.015045966302253744,0.07961613684892654,0.046875,0.8031707564368844,False
KB6C0E4B189E,70a93d3a0a3e715228561e64f7db8f561774700e3bdd188683d32f07f5be8b61,18,14,1,1,0.4152594907209277,0.9253300428390503,0.05555555555555555,11.385748439364964,False
KBCCA19DFCE2,ec85e90720d069c91a9949d8ccaae7f257fcc0e32583d92992a595a0e3202f50,64,61,3,1,0.2805406080283319,1.402489185333252,0.328125,3.2126830220222473,False
KBD594BF7C5D,7a863fc83ba8b9ff3c8801c838df200bed7c02574d251d86ca8084fc331c7f82,64,54,4,1,0.15973687752193655,0.7464047074317932,0.1875,-3.212683107703924,False
KC06F93FB47C,b6583adda54379e269c39d4067584de865667e770c6a86c2e233dace96c95e1b,64,48,2,1,0.013399589763954722,0.050468575209379196,0.03125,0.8031707499176264,False
KC0A253A068F,ce592f379582078c7f94139c85a2b374f3c806eb4cc2cfb173d79b1185ff0f48,64,48,3,1,0.11252290625151318,0.30880558490753174,0.15625,-5.692874193191528,False
KC29F24233F9,6d13b073fee17fd40b88a7321f11728dc10771d14095d06c80434585441a5995,64,49,3,1,0.006556516550826563,0.032223816961050034,0.015625,0.5862097861245275,False
KC77E7818426,87247c497b73e1dbfc5435f509237ab25e7745cafe94a550e8e52d0086cacfbd,64,58,3,1,0.42786397503275,1.6390165090560913,0.265625,4.689678177237511,False
KCA565197371,d3d384963cab7f7d9ce3b4caa79a8f633634e3e8da9e32eb7b11d87a532d1413,64,55,3,1,0.13349214052891512,0.5309751629829407,0.203125,-5.692874230444431,False
KCB09605C86B,edd5e664405ed206d472a167b9166b4a84ba13cb2fb06e0f908caf012607a2b6,64,49,3,1,0.20814019345805335,0.7311407327651978,0.15625,3.212682992219925,False
KCBB97D3023B,02f0849c39ae69cfe2b33ebefe481006ed488727a28e8351b8d6b7ef6da2a7a2,50,44,2,1,0.006452473869925939,0.031857606023550034,0.04,0.58620969414711,False
KCFAFEC82022,54d9afe0643875f71fd6bcdf98ceb8cf5e603b43511b012411f1db13baf3c407,64,57,3,1,0.025289070010586556,0.09124168008565903,0.09375,-1.1724195629358292,False
KD290042AC27,061d9794df21f86526f26dfee4a77cf2f230f686fed244a45b4bea1440e9ef89,26,21,1,1,0.7449495623116561,1.959869623184204,0.4230769230769231,6.4253659798548775,False
KDA385F473B8,6b69f2ba99234afabc89d5c19342cce0e23f35ba141f418e6587755f7e4bcb12,64,52,3,1,0.023649373700948217,0.0945882648229599,0.0625,-1.1724195145070553,False
KDE136AC51CE,dcad9199188ebe04440058d255cb6b8c8cd513c03804ccadd02e94ab0e0c5778,64,56,3,1,0.1441356755551908,0.5615517497062683,0.203125,5.692874126136303,False
KDE8B9D1C5C5,cc04934d215f3bc71fda383922e63fe9f4e3267cc57a4539f42e939bc7dd788c,26,22,1,1,0.13025345327332616,0.6433687806129456,0.2692307692307692,2.3448392702982974,False
KE44E50B62EB,c02ab6c11dd4830534f447c4f5639c78a85d032098e79a72cb3f8ddfec3c588d,30,25,1,1,0.07632690052379681,0.3612959384918213,0.13333333333333333,-3.2126833756764728,False
KE5292BEF626,2a5e9fad088d5ad231b9c3be106e4fcd5e95a38a7b2656daee013eec4a31d87c,64,53,3,1,0.0,0.0,0.0,0.0,True
KE73575BD76A,d13d1bd98ca5fef31ef7a625ca30443ce8d2d10ef31dcd85ebae2a7812d821a0,26,22,1,1,0.03128481569281295,0.1444292515516281,0.11538461538461539,1.172419662658985,False
KE7C78E604EB,d933c05ce802c8b72688cdb9781c3ff0393a590fa2f44573bd5ae37a442d5c27,64,51,4,1,0.0,0.0,0.0,0.0,True
KE8EB96D38C5,d95a0fc38c8c9a0ad698f93970284eac88e823f4cbf28929a8ad85ec12ef81da,64,51,3,1,0.02822722701642988,0.09297146648168564,0.09375,-2.8464372381567955,False
KE9BBA662B0A,ca98f09c448c21975d305674df37d57e73638cbb5a2507f99ebf140b76745766,64,53,4,1,0.08815118166387492,0.34007903933525085,0.15625,-2.344839122146368,False
KEBADEE28FF9,319ca30e25ff114ed15d6fa409ca44b1c3c85fbd4b749dc09c67ebd231589e89,9,7,1,1,0.8708237508932749,1.9972095489501953,0.4444444444444444,6.425365924835205,False
KECADC719241,d2334f9f0631cdde5910cb6b9c8d9292111b729079c7e9e2d5531f4f5f77af79,26,20,1,1,0.05261775773788731,0.18889957666397095,0.15384615384615385,-1.6063416050030634,False
KF632D8B7BC9,39de5e980faef759b79d6e23175ba438dc1ae1f7bf4944c17612d197cc34a98e,10,8,1,1,0.3014491118490696,0.5748022794723511,0.3,4.689678192138672,False
KF68C97B2133,bc768b55aa19d8b23a77666c019ca9affd9dfc36604b6882b38c44465f2b9c43,64,56,2,1,0.0,0.0,0.0,0.0,True
KF6FD8AB8B2B,b0cac2559f0555a05199086ce29ecb3f2bca7c7e9f752c5942866308051f687f,9,5,1,1,0.2519310886661212,0.45001640915870667,0.1111111111111111,4.689678457048204,False
KFE54B37F71E,b13451f80e53f76f640e496efc9ae813cded269b369ea494e26052f3b2e2f408,64,51,3,1,0.14044151702114505,0.41478231549263,0.328125,-5.692874044179916,False
